,user,job_name,node_id,count,mean_core
241,a07smr01,SWAN_TOS,48,6,20.905008055438994
242,a07smr01,SWAN_TOS,49,9,10.403042713717323
243,a07smr01,SWAN_TOS,50,8,14.207169932518669
244,a07smr01,SWAN_TOS,56,2,21.749935422033133
245,a07smr01,SWAN_TOS,57,2,11.389674731806645
246,a07smr01,SWAN_TOS,58,2,11.389674731806645
247,a07smr01,TRANSFER1,33,7,5.7697838093510185
248,a07smr01,TRANSFER1,35,77,4.8272911091888675
249,a07smr01,TRANSFER1,46,25,4.0553450899059165
250,a07smr01,TRANSFER2,33,7,5.769697224257575
251,a07smr01,TRANSFER2,35,77,5.434193797749802
252,a07smr01,TRANSFER2,46,24,4.064563241212629
253,a07smr01,WW_SWAN,7,1,60.396479766074144
254,a07smr01,WW_SWAN,33,2,5.307388156333179
255,a07smr01,WW_SWAN,35,18,7.836103260702997
256,a07smr01,WW_SWAN,46,7,6.330299351198844
257,a07smr01,WW_SWAN,58,1,46.97420346220498
258,a08tra01,my_compile_job_,37,1,31.35806455652061
259,a08tra01,my_run_job_stan,33,1,28.79819288222303
260,a08tra39,AMalerba,46,1,88.13739328659494
261,a08tra41,pinto,11,1,3.636646546168045
262,a08tra41,pinto,63,1,85.06211607086611
263,a08tra59,hellojob,7,1,65.13563167023793
264,a08tra59,scuola,1,2,3.205988854288503
265,a08tra59,scuola,7,1,64.37779417042856
266,a08tra59,scuola,11,1,14.69442911157021
267,a08tra60,STDIN,1,2,5.985206015136949
268,a08tra60,STDIN,2,2,4.2950083603495495
269,a08tra60,STDIN,7,1,7.399597923094474
270,a08tra60,STDIN,58,1,3.5414577334090493
271,a08tra60,job1,1,2,2.964770915043914
272,a08tra60,job1,18,1,14.731024515436909
273,a08tra60,job1,33,3,4.834444649600369
274,a08tra60,job1,34,1,3.062866553212721
275,a08tra61,STDIN,7,1,11.738762873192918
276,a08tra61,STDIN,9,1,14.31658255121392
277,a08tra61,STDIN,33,3,28.311175333119365
278,a08tra61,myname,1,1,2.608595021719756
279,a08tra61,myname,2,1,12.613383814804001
280,a08tra61,myname,5,2,13.319224967270372
281,a08tra61,myname,7,1,66.24484744139211
282,a08tra61,myname,10,1,7.189312410402351
283,a08tra62,STDIN,33,1,3.4250169938833
284,a08tra63,STDIN,7,1,2.2499935037231458
285,a08tra63,STDIN,13,2,13.440310028671227
286,a08tra63,STDIN,30,1,4.7773691287794415
287,a08tra63,STDIN,34,1,2.961814590822808
288,a08tra64,STDIN,1,3,6.030548658633548
289,a08tra64,STDIN,2,1,3.5593384136573416
290,a08tra64,STDIN,5,3,116.11013387456057
291,a08tra64,STDIN,7,2,26.800746529384796
292,a08tra64,STDIN,13,1,12.073831251553075
293,a08tra64,STDIN,40,1,24.150988130303784
294,a08tra66,STDIN,35,3,3.452609624888907
295,a08tra67,STDIN,3,2,3.540344657400258
296,a08tra67,STDIN,35,2,4.024578904021615
297,a08tra68,STDIN,35,2,2.435989344218445
298,a08tra69,STDIN,3,1,3.4533740572061493
299,a08tra69,STDIN,35,3,5.982834978221656
300,a08tra70,STDIN,35,2,6.819039685753028
301,a08tra71,STDIN,3,1,4.4345944955089855
302,a08tra71,STDIN,4,2,3.706624496273438
303,a08tra71,STDIN,35,4,2.7307459875902813
304,a08tra72,STDIN,35,1,3.2751078685505304
305,a08tra73,STDIN,35,2,4.642599879097867
306,a08tra74,STDIN,3,1,5.7294918955195175
307,a08tra75,STDIN,35,4,3.04643913957181
308,a08tra76,STDIN,4,2,3.2318374333078133
309,a08tra76,STDIN,35,2,6.057698220344386
310,a08tra77,STDIN,3,1,3.4996699032676126
311,a08tra77,STDIN,35,3,4.243994046475925
312,a08tra77,STDIN,37,1,2.4729023214989403
313,a08tra78,STDIN,35,4,4.093619052012452
